,sexo_F,sexo_M,posse_de_veiculo_N,posse_de_veiculo_Y,posse_de_imovel_N,posse_de_imovel_Y,possui_fone_comercial_0,possui_fone_comercial_1,possui_fone_0,possui_fone_1,possui_email_0,possui_email_1,mau_False,mau_True,possui_celular_1
90,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
91,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
92,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
94,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
95,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
96,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
98,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
107,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
108,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
109,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
111,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
119,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
122,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1
123,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
129,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
132,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
135,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
136,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
144,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
145,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
146,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
147,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
149,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
150,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
153,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
159,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
168,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
169,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
172,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1
181,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
185,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
186,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
187,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
191,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
192,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
193,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
196,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1
198,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1
199,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
201,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
203,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
206,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
212,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
213,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
215,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
216,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
217,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
219,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
224,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
229,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
230,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
231,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
234,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
236,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
243,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
245,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
248,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
250,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
251,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1
255,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
256,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
265,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
266,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
268,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
270,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
271,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
272,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1
273,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
275,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
276,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
277,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
278,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
279,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
282,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
284,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1
286,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
287,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
289,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
290,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
291,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
295,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
298,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
301,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
309,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
310,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1
314,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
318,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
319,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
321,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
322,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
325,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
327,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
328,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1
332,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
335,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
338,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
340,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
343,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
345,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
347,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1
349,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1
351,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
354,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
356,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
358,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
359,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
360,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
361,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
364,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
370,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
373,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
376,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
381,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
387,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
390,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
393,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
394,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
395,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1
396,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
399,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
402,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
403,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
408,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
411,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
412,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
417,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1
419,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
421,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
425,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
427,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
429,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
431,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
432,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
437,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
439,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1
440,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
444,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
446,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
448,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
450,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1
452,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
453,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
454,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
456,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
459,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
462,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
464,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
465,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1
471,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
474,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
478,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1
482,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
483,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
485,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
487,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
492,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
493,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
495,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
496,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
497,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
502,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
507,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
508,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
510,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
516,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
517,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1
529,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
531,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
533,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
534,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
539,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1
541,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
551,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
553,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
554,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
556,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
559,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
564,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
566,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
567,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
574,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
575,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
583,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
584,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
587,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
588,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
590,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
598,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
599,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
603,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
605,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
607,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
611,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
614,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
615,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
623,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
625,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1
626,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
628,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
629,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
632,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
635,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
638,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
639,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
641,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
643,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
644,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
647,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
650,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
653,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
656,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
657,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
663,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
664,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
666,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
667,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
672,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
673,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
674,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
677,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
678,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
680,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
683,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1
685,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
691,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
696,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
698,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
701,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
702,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
705,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1
708,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
709,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
710,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1
711,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
714,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
720,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1
723,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
731,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
732,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
733,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
734,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
735,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
738,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
742,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
743,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1
744,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1
750,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
753,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
758,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1
760,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
762,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
763,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1
764,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
766,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
772,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
773,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
781,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
784,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
785,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
786,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
788,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
789,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
790,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1
791,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
800,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
810,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
814,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
817,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
818,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
819,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
826,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
827,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
828,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
830,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
831,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
833,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
837,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
838,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
840,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
841,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
847,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
848,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
849,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1
850,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
853,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
855,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
858,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
859,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
861,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
862,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
863,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
866,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
869,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
870,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
871,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
873,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
874,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
882,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
887,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
889,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
892,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
898,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
899,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
900,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
902,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
904,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
911,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
915,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
916,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
922,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
925,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
930,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
933,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
937,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
943,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
949,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
950,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
953,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
957,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
958,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
959,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
960,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
963,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1
971,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
972,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
973,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
974,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
976,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
979,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
984,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
985,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
986,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
989,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
995,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
996,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
997,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
998,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1
1000,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
1003,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1004,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
1008,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
1010,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
1011,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1012,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1013,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1
1015,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
1019,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
1022,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
1025,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1
1035,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
1039,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
1040,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1
1043,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
1048,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
1050,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
1051,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1056,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
1058,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1059,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
1067,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1071,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1076,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1079,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1084,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
1085,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
1090,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1091,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1092,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
1097,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1100,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1101,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
1111,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
1112,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
1116,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1120,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1124,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
1125,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1
1127,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
1129,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1136,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1141,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1143,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
1144,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1147,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
1148,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
1151,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
1152,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
1153,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
1156,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
1157,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1
1160,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1
1161,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
1163,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
1165,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
1169,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
